X.2,X.1,X,pID,eID,oID,internalID,Effect.description,origDirection,Observed.difference.in.replication.,origN,repN,testReported,What.statistical.test.was.reported.,Statistical.test.applied.to.original.data,Original.test.statistic.type,Original.test.statistic.value,Original.df1,Original.df2,Original.p.value,Replication.statistical.test,Replication.test.statistic.type,Replication.test.statistic.value,Replication.df1,Replication.df2,Replication.p.value,Was.original.data.representative.,origRawDiff,Replication.raw.difference..if.original.reported.representative.data.,Replication.raw.difference.type..mean.or.median.,Replication.raw.diference.standard.error,Replication.raw.difference.lower.CI,Replication.raw.difference.upper.CI,Effect.size.type,Original.effect.size,Original.standard.error,Original.lower.CI,Original.upper.CI,Replication.effect.size,Replication.standard.error,Replication.lower.CI,Replication.upper.CI,Meta.analysis.effect.size,Meta.analysis.lower.CI,Meta.analysis.upper.CI,Meta.analysis.p.value,repDirection,Statistical.test.applied.to.original.data..SMD.,Original.test.statistic.type..SMD.,Original.test.statistic.value..SMD.,origdf1,origdf2,origPval,Replication.statistical.test..SMD.,Replication.test.statistic.type..SMD.,Replication.test.statistic.value..SMD.,repdf1,repdf2,repPval,repRawDiff,Replication.raw.difference.type..mean.or.median...SMD.,Replication.raw.diference.standard.error..SMD.,Replication.raw.difference.lower.CI..SMD.,Replication.raw.difference.upper.CI..SMD.,EStype,origES,origSE,origESLo,origESHi,repES,repSE,repESLo,repESHi,Meta.analysis.effect.size..SMD.,Meta.analysis.lower.CI..SMD.,Meta.analysis.upper.CI..SMD.,Meta.analysis.p.value..SMD.,Notes.x,Original.paper.figure,Was.experiment.originally.identified.by.RP.CB.team,Did.experiment.continue.after.sharing.with.labs..before.submitting.protocol.to.eLife.,Did.the.experiment.protocol.get.submitted.to.eLife,Did.the.experiment.protocol.get.accepted.and.published.in.eLife,infoNeeded,infoQuality,Data.shared.by.original.authors,Code.shared.by.original.authors,Key.materials.asked.to.be.shared,materialsSharedProse,Key.materials.shared,expType,Number.of.lab.s..contracted.for.the.experiment,labsContracted,Registered.Report.protocol,Experiment.description,Replication.experiment.attempted,Replication.experiment.completed,If.experiment.incomplete..why.,changesNeededRaw,If.modifications.were.needed.for.experiment.to.proceed..what.were.they.,changesSuccess,If.modifications.unable.to.be.fully.implemented..why.,Replication.study.figure,Were.materials.shippped.between.replicating.labs.,If.a.material.was.shipped.between.replicating.labs..what.was.it.,What.types.of.experimental.techniques.were.utilized.,Was.the.original.experiment.blinded.,Was.the.replication.experiment.blinded.,Was.the.original.experiment.randomized.,Was.the.replication.experiment.randomized.,Was.the.original.experiment.sample.size.determined.a.priori.,Was.the.replication.experiment.sample.size.determined.a.priori.,Was.a.statistical.test.reported.in.the.original.paper..y,What.statistical.test.s..was.reported.,Was.variation.of.biological.repeats.reported.in.the.original.experiment.,Notes.y,Original.paper.title,Year,Original.paper.journal,Number.of.original.authors,OSF.project.link,Draft.protocol.shared.with.original.authors.date,Budget.per.paper.at.project.onset.when.originally.identified.by.RP.CB.team,Anticipated.budget.when.Registered.Report.manuscript.ready.for.submission.to.eLife,Anticipated.budget.when.Registered.Report.accepted.and.published.in.eLife,Actual.budget.at.completion.of.replication.attempt,Registered.Report.submission.date,Registered.Report.acceptance.date,Link.to.Registered.Report,Experimental.work.start.date,Experimental.work.end.date,Replication.study.fully.completed,If.Replication.study.incomplete..why.,Replication.study.submission.date,Replication.study.acceptance.date,Link.to.Replication.study,Did.original.authors.respond.to.any.emails.,Did.the.original.paper.have.a.potential.conflict.of.issue.statement.,Did.the.replication.study.have.a.potential.conflict.of.issue.statement.,Number.of.lab.s..contracted.for.the.entire.paper,Contracted.lab.s..for.the.entire.paper,Notes,repSignif,origSignif,changes,changes_a..GTE.moderate.success,changes_b..LT.moderate.success,changes_c..No.changes.needed,materialsShared,materialsShared_a.No,materialsShared_b.Yes,materialsShared_c..Not.requested,hasCROLab,hasCoreLab,expAnimal,quantPair,peoID,nInternal,peID,origES2,ES2type,origESLo2,origESHi2,repES2,repESLo2,repESHi2,origSE2,repSE2,origVar2,repVar2,origES3,origESLo3,origESHi3,repES3,repESLo3,repESHi3,origSE3,repSE3,origVar3,repVar3,discrep,badCI,pw.PILo,pw.PIHi,pw.PIRepInside,pw.PILo.sens,pw.PIHi.sens,pw.PIRepInside.sens,pw.Porig,pw.PorigSens,pw.ratio,pw.ratioVar,pw.diff,pw.diffVar,pw.PsigAgree1,pw.PsigAgree1.sens,pw.FEest,pw.FEestVar,pw.FElo,pw.FEhi
162,162,162,21,1,2,1,Relative tumor volume of A549 xenografts treated with DOX vs vehicle,Positive,Positive,12,18,No,"",Student's t test,t,5.204783,,10,0.0003985327,Student's t test,t,2.227984,,16,0.04057874,No,,,"",,,,Cohen's d,3.004983,0.9704614,1.251697,4.695657,1.263148,0.6462975,0.05315685,2.43910131,1.983622,0.3023162,3.6649283,0.02075643,Positive,Student's t test,t,5.204783,,10,0.0003985327,Student's t test,t,2.227984,,16,0.04057874,,"",,,,Cohen's d,3.004983,0.9704614,1.251697,4.695657,1.263148,0.6462975,0.05315685,2.43910131,1.983622,0.3023162,3.6649283,0.02075643,"","4C,4D,S1",Yes,Yes,Yes,Yes,3,0,0,0,"","","",Animal,1,Core4,1.0,Tumor xenograft experiment testing efficacy of cimetidine in inhibiting the growth of tumors in SCID mice,Yes,Yes,"",0,"",6,"",1.0,No,"","xenograft generation, animal injections","","","","","","",Yes,Student's t test,Yes,"",Discovery and Preclinical Validation of Drug Indications Using Compendia of Public Gene Expression Data,2011,Science Translational Medicine,8,https://osf.io/hxrmm/,2014-08-18,25000,9181.72,11181.72,11838.11,42039,42109,https://elifesciences.org/articles/06847,42163,42251,Yes,"",42478,42579,https://elifesciences.org/articles/17044,Yes,Yes,Yes,1,Core4,"",TRUE,TRUE,a. GTE moderate success,1,0,0,c. Not requested,0,0,1,FALSE,TRUE,TRUE,TRUE,p21e1o2,1,p21e1,3.004983,Cohen's d,1.251697,4.695657,1.263148,0.05315685,2.43910131,0.9704614,0.608670485483413,0.94179532888996,0.370479759898614,3.004983,1.251697,4.695657,1.263148,0.05315685,2.43910131,0.878577368555116,0.608670485483413,0.771898192537232,0.370479759898614,0.0313059999999998,FALSE,0.91013268029905,5.09983331970095,TRUE,0.871160664613985,5.13880533538602,TRUE,0.103169328411058,0.109617492662321,2.37896351021416,1.79789359711279,1.741835,1.14237795243585,0.954994181472693,0.948980309280849,1.82803513845276,0.250331036613233,0.847404540984265,2.80866573592125
171,171,171,24,1,1,1,PTEN-3'UTR luciferase reporter activity of siNC vs siSERINC1,Positive,Null-negative,8,8,Yes,Student's t test,Student's t test,t,5.114467,,6,0.002190081,Student's t test,t,-0.1767,,6,0.8655577,No,,,"",,,,Cohen's d,3.616474,1.455979,1.147255,6.003115,-0.1249458,0.8175581,-1.507507,1.267743,1.55179,-2.09497,5.198551,0.4042725,Null-negative,Student's t test,t,5.114467,,6,0.002190081,Student's t test,t,-0.1767,,6,0.8655577,,"",,,,Cohen's d,3.616474,1.455979,1.147255,6.003115,-0.1249458,0.8175581,-1.507507,1.267743,1.55179,-2.09497,5.198551,0.4042725,"","3C,S3A",Yes,Yes,Yes,Yes,2,4,1,0,"","","",Cell-based,1,Core9,1.0,ceRNA depletion on PTEN-3'UTR luciferase reporter activity,Yes,Yes,"",0,"",6,"",1.0,No,"","","","","","","","",Yes,Student's t test,Yes,"",Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs.,2011,Cell,13,https://osf.io/oblj1/,2015-02-24,25000,33415.68,43110.89,62894.9,42331,42404,https://elifesciences.org/articles/12470,42445,43349,Partial,Western blot results with the phospho-AKT antibody were inconsistent and largely absent of a signal.,43977,44092,https://elifesciences.org/articles/56651,Yes,No,Yes,1,Core9,"",FALSE,TRUE,a. GTE moderate success,1,0,0,c. Not requested,0,0,1,FALSE,TRUE,FALSE,TRUE,p24e1o1,1,p24e1,3.616474,Cohen's d,1.147255,6.003115,-0.1249458,-1.507507,1.267743,1.455979,0.707984948165073,2.119874848441,0.501242686828301,3.616474,1.147255,6.003115,-0.1249458,-1.507507,1.267743,1.23876255847108,0.707984948165073,1.5345326762698,0.501242686828301,0.0412889999999999,FALSE,0.819985626070121,6.41296237392988,FALSE,0.790673737673231,6.44227426232677,FALSE,0.00873553229807489,0.00945815329274513,-28.9443422668069,26997.0451106224,3.7414198,2.0357753630981,0.940870701050784,0.937017756418437,0.796255697522118,0.377828170839413,-0.408489652988848,2.00100104803308
173,173,173,24,1,3,1,PTEN-3'UTR luciferase reporter activity of siNC vs siVAPA,Positive,Null-positive,8,8,Yes,Student's t test,Welch's t test,t,10.79469,,3.576481,0.0007419815,Student's t test,t,0.2254175,,6,0.8291362,No,,,"",,,,Glass' delta,5.653017,2.413732,1.227296,10.16045,0.1556105,0.7099548,-1.2475,1.534436,2.420262,-2.882904,7.723427,0.3710601,Null-positive,Welch's t test,t,10.79469,,3.576481,0.0007419815,Student's t test,t,0.2254175,,6,0.8291362,,"",,,,Glass' delta,5.653017,2.413732,1.227296,10.16045,0.1556105,0.7099548,-1.2475,1.534436,2.420262,-2.882904,7.723427,0.3710601,"","3C,S3A",Yes,Yes,Yes,Yes,2,4,1,0,"","","",Cell-based,1,Core9,1.0,ceRNA depletion on PTEN-3'UTR luciferase reporter activity,Yes,Yes,"",0,"",6,"",1.0,No,"","","","","","","","",Yes,Student's t test,Yes,"",Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs.,2011,Cell,13,https://osf.io/oblj1/,2015-02-24,25000,33415.68,43110.89,62894.9,42331,42404,https://elifesciences.org/articles/12470,42445,43349,Partial,Western blot results with the phospho-AKT antibody were inconsistent and largely absent of a signal.,43977,44092,https://elifesciences.org/articles/56651,Yes,No,Yes,1,Core9,"",FALSE,TRUE,a. GTE moderate success,1,0,0,c. Not requested,0,0,1,FALSE,TRUE,FALSE,TRUE,p24e1o3,1,p24e1,5.653017,Glass' delta,1.227296,10.16045,0.1556105,-1.2475,1.534436,2.413732,0.709690591751572,5.826102167824,0.503660736020697,5.653017,1.227296,10.16045,0.1556105,-1.2475,1.534436,2.27890769179015,0.709690591751572,5.19342026770031,0.503660736020697,0.0408559999999998,FALSE,0.97486543405507,10.3311685659449,FALSE,0.957284685334475,10.3487493146655,FALSE,0.0212675920925169,0.0217573851838468,36.3279920056809,27664.5211068668,5.4974065,5.69708100372101,0.962920662514268,0.961830677083289,0.641618650873495,0.459133698956765,-0.686441286680298,1.96967858842729
174,174,174,24,1,4,1,PTEN-3'UTR luciferase reporter activity of siNC vs siCNOT6L,Positive,Null-positive,8,8,Yes,Student's t test,Welch's t test,t,6.044029,,3.925518,0.004015118,Student's t test,t,0.425898,,6,0.6850368,No,,,"",,,,Glass' delta,3.252155,1.504245,0.407338,6.0475,0.3363867,0.7203189,-1.098502,1.720333,1.495226,-1.301416,4.291867,0.2946867,Null-positive,Welch's t test,t,6.044029,,3.925518,0.004015118,Student's t test,t,0.425898,,6,0.6850368,,"",,,,Glass' delta,3.252155,1.504245,0.407338,6.0475,0.3363867,0.7203189,-1.098502,1.720333,1.495226,-1.301416,4.291867,0.2946867,"","3C,S3A",Yes,Yes,Yes,Yes,2,4,1,0,"","","",Cell-based,1,Core9,1.0,ceRNA depletion on PTEN-3'UTR luciferase reporter activity,Yes,Yes,"",0,"",6,"",1.0,No,"","","","","","","","",Yes,Student's t test,Yes,"",Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs.,2011,Cell,13,https://osf.io/oblj1/,2015-02-24,25000,33415.68,43110.89,62894.9,42331,42404,https://elifesciences.org/articles/12470,42445,43349,Partial,Western blot results with the phospho-AKT antibody were inconsistent and largely absent of a signal.,43977,44092,https://elifesciences.org/articles/56651,Yes,No,Yes,1,Core9,"",FALSE,TRUE,a. GTE moderate success,1,0,0,c. Not requested,0,0,1,FALSE,TRUE,FALSE,TRUE,p24e1o4,1,p24e1,3.252155,Glass' delta,0.407338,6.0475,0.3363867,-1.098502,1.720333,1.504245,0.719103774925104,2.262753020025,0.517110239111534,3.252155,0.407338,6.0475,0.3363867,-1.098502,1.720333,1.43884327581754,0.719103774925104,2.07026997236534,0.517110239111534,0.0247359999999999,FALSE,0.0994871557976866,6.40482284420231,TRUE,0.0734580290843518,6.43085197091565,TRUE,0.0698800696145256,0.0722017535055626,9.66790601412006,445.435812437263,2.9157683,2.58738021147687,0.874019838511569,0.870142684438251,0.919128129388221,0.41376130020883,-0.341604592622706,2.17986085139915
175,175,175,24,1,5,1,PTEN-3'UTR luciferase reporter activity of siNC vs siPTEN,Positive,Positive,8,8,Yes,Student's t test,Welch's t test,t,17.05087,,3.085825,0.0003724277,Mann-Whitney,z,2.309401,,,0.02857143,No,,,"",,,,Glass' delta,8.586207,3.575914,2.109776,15.2773,2.484508,1.236445,0.1009866,4.77607,4.612798,-1.086812,10.312408,0.1126861,Positive,Welch's t test,t,17.05087,,3.085825,0.0003724277,Welch's t test,t,4.960165,,3.021432,0.01547023,,"",,,,Glass' delta,8.586207,3.575914,2.109776,15.2773,2.484508,1.236445,0.1009866,4.77607,4.612798,-1.086812,10.312408,0.1126861,"","3C,S3A",Yes,Yes,Yes,Yes,2,4,1,0,"","","",Cell-based,1,Core9,1.0,ceRNA depletion on PTEN-3'UTR luciferase reporter activity,Yes,Yes,"",0,"",6,"",1.0,No,"","","","","","","","",Yes,Student's t test,Yes,"",Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs.,2011,Cell,13,https://osf.io/oblj1/,2015-02-24,25000,33415.68,43110.89,62894.9,42331,42404,https://elifesciences.org/articles/12470,42445,43349,Partial,Western blot results with the phospho-AKT antibody were inconsistent and largely absent of a signal.,43977,44092,https://elifesciences.org/articles/56651,Yes,No,Yes,1,Core9,"",TRUE,TRUE,a. GTE moderate success,1,0,0,c. Not requested,0,0,1,FALSE,TRUE,FALSE,TRUE,p24e1o5,1,p24e1,8.586207,Glass' delta,2.109776,15.2773,2.484508,0.1009866,4.77607,3.575914,1.19264523146253,12.787160935396,1.42240264813032,8.586207,2.109776,15.2773,2.484508,0.1009866,4.77607,3.35912396958917,1.19264523146253,11.2837138430685,1.42240264813032,0.107331,FALSE,1.59978994460725,15.5726240553928,TRUE,1.58800557613945,15.5844084238606,TRUE,0.0869398237114909,0.08747254889572,3.45589831065145,4.58007579567614,6.101699,12.7061164911988,0.960198625971806,0.959690589309062,3.16757058814059,1.26316994356559,0.964750731287626,5.37039044499356
176,176,176,24,2,1,1,PTEN-3'UTR luciferase reporter activity of EV vs SERINC1-3'UTR,Positive,Negative,8,12,Yes,Student's t test,Student's t test,t,3.824188,,6,0.008718023,Student's t test,t,-3.320952,,10,0.007735024,No,,,"",,,,Cohen's d,2.704109,1.216196,0.6200775,4.693687,-1.917353,0.7877655,-3.289486,-0.484107,0.3004899,-4.224798,4.825778,0.8964507,Negative,Student's t test,t,3.824188,,6,0.008718023,Student's t test,t,-3.320952,,10,0.007735024,,"",,,,Cohen's d,2.704109,1.216196,0.6200775,4.693687,-1.917353,0.7877655,-3.289486,-0.484107,0.3004899,-4.224798,4.825778,0.8964507,"",3D,Yes,Yes,Yes,Yes,2,4,1,0,Plasmids,Plasmids,Plasmids,Cell-based,1,Core9,2.0,ceRNA overexpression on PTEN-3'UTR luciferase reporter activity,Yes,Yes,"",0,"",6,"",2.0,No,"","","","","","","","",Yes,Student's t test,Yes,"",Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs.,2011,Cell,13,https://osf.io/oblj1/,2015-02-24,25000,33415.68,43110.89,62894.9,42331,42404,https://elifesciences.org/articles/12470,42445,43349,Partial,Western blot results with the phospho-AKT antibody were inconsistent and largely absent of a signal.,43977,44092,https://elifesciences.org/articles/56651,Yes,No,Yes,1,Core9,"",TRUE,TRUE,a. GTE moderate success,1,0,0,b.Yes,0,1,0,FALSE,TRUE,FALSE,TRUE,p24e2o1,1,p24e2,2.704109,Cohen's d,0.6200775,4.693687,-1.917353,-3.289486,-0.484107,1.216196,0.715671058786915,1.479132710416,0.512185064385183,2.704109,0.6200775,4.693687,-1.917353,-3.289486,-0.484107,1.03920519257806,0.715671058786914,1.07994743228119,0.512185064385183,0.0472267500000001,FALSE,0.231031681549807,5.17718631845019,FALSE,0.197934361218048,5.21028363878195,FALSE,0.000249665837931623,0.000301238073161958,-1.41033445588788,0.570883361536586,4.621462,1.59213249666637,0.848823682027511,0.842475757042887,-0.430640168637144,0.347416403027833,-1.58588291622965,0.724602578955367
177,177,177,24,2,2,1,PTEN-3'UTR luciferase reporter activity of EV vs VAPA-3'UTR1,Positive,Negative,8,12,Yes,Student's t test,Welch's t test,t,4.110761,,4.392191,0.01214254,Student's t test,t,-3.132738,,10,0.0106408,No,,,"",,,,Glass' delta,4.625142,2.016264,0.8937053,8.384744,-1.441733,0.735658,-2.826101,0.02658932,1.301264,-4.616849,7.219377,0.6665023,Negative,Welch's t test,t,4.110761,,4.392191,0.01214254,Student's t test,t,-3.132738,,10,0.0106408,,"",,,,Glass' delta,4.625142,2.016264,0.8937053,8.384744,-1.441733,0.735658,-2.826101,0.02658932,1.301264,-4.616849,7.219377,0.6665023,"",3D,Yes,Yes,Yes,Yes,2,4,1,0,Plasmids,Plasmids,Plasmids,Cell-based,1,Core9,2.0,ceRNA overexpression on PTEN-3'UTR luciferase reporter activity,Yes,Yes,"",0,"",6,"",2.0,No,"","","","","","","","",Yes,Student's t test,Yes,"",Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs.,2011,Cell,13,https://osf.io/oblj1/,2015-02-24,25000,33415.68,43110.89,62894.9,42331,42404,https://elifesciences.org/articles/12470,42445,43349,Partial,Western blot results with the phospho-AKT antibody were inconsistent and largely absent of a signal.,43977,44092,https://elifesciences.org/articles/56651,Yes,No,Yes,1,Core9,"",TRUE,TRUE,a. GTE moderate success,1,0,0,b.Yes,0,1,0,FALSE,TRUE,FALSE,TRUE,p24e2o2,1,p24e2,4.625142,Glass' delta,0.8937053,8.384744,-1.441733,-2.826101,0.02658932,2.016264,0.727740494851349,4.065320517696,0.529606227846486,4.625142,0.8937053,8.384744,-1.441733,-2.826101,0.02658932,1.91101437554168,0.727740494851349,3.65197594352697,0.529606227846486,0.0140826499999989,FALSE,0.617227864607396,8.6330561353926,FALSE,0.596721017316971,8.65356298268303,FALSE,0.00300873454084294,0.00315987569130716,-3.20804337557648,4.37913351523281,6.066875,4.18158217137346,0.941124867776412,0.939246722217302,-0.673350447204006,0.462530478745122,-2.00631398287005,0.659613088462039
178,178,178,24,2,3,1,PTEN-3'UTR luciferase reporter activity of EV vs VAPA-3'UTR2,Positive,Negative,8,12,Yes,Student's t test,Student's t test,t,7.805821,,6,0.0002331278,Student's t test,t,-4.832133,,10,0.0006895721,No,,,"",,,,Cohen's d,5.519549,2.012887,2.156096,8.832212,-2.789833,0.931123,-4.411396,-1.104969,1.173224,-6.961154,9.307602,0.7774174,Negative,Student's t test,t,7.805821,,6,0.0002331278,Student's t test,t,-4.832133,,10,0.0006895721,,"",,,,Cohen's d,5.519549,2.012887,2.156096,8.832212,-2.789833,0.931123,-4.411396,-1.104969,1.173224,-6.961154,9.307602,0.7774174,"",3D,Yes,Yes,Yes,Yes,2,4,1,0,Plasmids,Plasmids,Plasmids,Cell-based,1,Core9,2.0,ceRNA overexpression on PTEN-3'UTR luciferase reporter activity,Yes,Yes,"",0,"",6,"",2.0,No,"","","","","","","","",Yes,Student's t test,Yes,"",Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs.,2011,Cell,13,https://osf.io/oblj1/,2015-02-24,25000,33415.68,43110.89,62894.9,42331,42404,https://elifesciences.org/articles/12470,42445,43349,Partial,Western blot results with the phospho-AKT antibody were inconsistent and largely absent of a signal.,43977,44092,https://elifesciences.org/articles/56651,Yes,No,Yes,1,Core9,"",TRUE,TRUE,a. GTE moderate success,1,0,0,b.Yes,0,1,0,FALSE,TRUE,FALSE,TRUE,p24e2o3,1,p24e2,5.519549,Cohen's d,2.156096,8.832212,-2.789833,-4.411396,-1.104969,2.012887,0.843491774869507,4.051714074769,0.71147837427251,5.519549,2.156096,8.832212,-2.789833,-4.411396,-1.104969,1.703122111595,0.843491774869506,2.9006249270038,0.71147837427251,0.0253949999999996,FALSE,1.79453274661986,9.24456525338014,FALSE,1.77247734536257,9.26662065463743,FALSE,0.0000123065324082461,0.0000138420865696265,-1.97845139834535,0.730492161368878,8.309382,3.61210330127631,0.979040373210847,0.97781516981393,-1.15312853629313,0.571338008719124,-2.63460463572636,0.3283475631401
179,179,179,24,2,4,1,PTEN-3'UTR luciferase reporter activity of EV vs CNOT6L-3'UTR1,Positive,Negative,8,12,Yes,Student's t test,Student's t test,t,6.46204,,6,0.0006512861,Student's t test,t,-4.419996,,10,0.00129412,No,,,"",,,,Cohen's d,4.569352,1.728165,1.66362,7.408486,-2.551886,0.8892285,-4.100061,-0.9400836,0.8545588,-6.117581,7.826698,0.8101534,Negative,Student's t test,t,6.46204,,6,0.0006512861,Student's t test,t,-4.419996,,10,0.00129412,,"",,,,Cohen's d,4.569352,1.728165,1.66362,7.408486,-2.551886,0.8892285,-4.100061,-0.9400836,0.8545588,-6.117581,7.826698,0.8101534,"",3D,Yes,Yes,Yes,Yes,2,4,1,0,Plasmids,Plasmids,Plasmids,Cell-based,1,Core9,2.0,ceRNA overexpression on PTEN-3'UTR luciferase reporter activity,Yes,Yes,"",0,"",6,"",2.0,No,"","","","","","","","",Yes,Student's t test,Yes,"",Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs.,2011,Cell,13,https://osf.io/oblj1/,2015-02-24,25000,33415.68,43110.89,62894.9,42331,42404,https://elifesciences.org/articles/12470,42445,43349,Partial,Western blot results with the phospho-AKT antibody were inconsistent and largely absent of a signal.,43977,44092,https://elifesciences.org/articles/56651,Yes,No,Yes,1,Core9,"",TRUE,TRUE,a. GTE moderate success,1,0,0,b.Yes,0,1,0,FALSE,TRUE,FALSE,TRUE,p24e2o4,1,p24e2,4.569352,Cohen's d,1.66362,7.408486,-2.551886,-4.100061,-0.9400836,1.728165,0.80613149652889,2.986554267225,0.649847989695908,4.569352,1.66362,7.408486,-2.551886,-4.100061,-0.9400836,1.46555397071445,0.80613149652889,2.14784844107691,0.649847989695908,0.0332990000000004,FALSE,1.29105432718005,7.84764967281995,FALSE,1.26601497077368,7.87268902922632,FALSE,0.000020672067983174,0.0000238693237970544,-1.79057841925541,0.64976856500888,7.121238,2.79769643077282,0.963049160048026,0.960832597521806,-0.897767223014687,0.498901516352065,-2.2821478175942,0.486613371564822
180,180,180,24,2,5,1,PTEN-3'UTR luciferase reporter activity of EV vs CNOT6L-3'UTR2,Positive,Negative,8,12,Yes,Student's t test,Student's t test,t,6.654921,,6,0.0005563789,Welch's t test,t,-5.085004,,7.100732,0.001362887,No,,,"",,,,Glass' delta,5.195923,2.235979,1.081294,9.369,-2.293205,0.9269369,-4.037522,-0.4709422,1.174932,-6.144253,8.494118,0.7530436,Negative,Student's t test,t,6.654921,,6,0.0005563789,Welch's t test,t,-5.085004,,7.100732,0.001362887,,"",,,,Glass' delta,5.195923,2.235979,1.081294,9.369,-2.293205,0.9269369,-4.037522,-0.4709422,1.174932,-6.144253,8.494118,0.7530436,"",3D,Yes,Yes,Yes,Yes,2,4,1,0,Plasmids,Plasmids,Plasmids,Cell-based,1,Core9,2.0,ceRNA overexpression on PTEN-3'UTR luciferase reporter activity,Yes,Yes,"",0,"",6,"",2.0,No,"","","","","","","","",Yes,Student's t test,Yes,"",Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs.,2011,Cell,13,https://osf.io/oblj1/,2015-02-24,25000,33415.68,43110.89,62894.9,42331,42404,https://elifesciences.org/articles/12470,42445,43349,Partial,Western blot results with the phospho-AKT antibody were inconsistent and largely absent of a signal.,43977,44092,https://elifesciences.org/articles/56651,Yes,No,Yes,1,Core9,"",TRUE,TRUE,a. GTE moderate success,1,0,0,b.Yes,0,1,0,FALSE,TRUE,FALSE,TRUE,p24e2o5,1,p24e2,5.195923,Glass' delta,1.081294,9.369,-2.293205,-4.037522,-0.4709422,2.235979,0.909858504577821,4.999602088441,0.827842498352588,5.195923,1.081294,9.369,-2.293205,-4.037522,-0.4709422,2.1142495641176,0.909858504577821,4.47005121937145,0.827842498352588,0.0292239999999993,FALSE,0.68464374095928,9.70720225904072,FALSE,0.666415250796777,9.72543074920322,FALSE,0.00113906123948371,0.00119269344003037,-2.26579089091468,1.65818321937759,7.489128,5.29789371772404,0.930915986047296,0.929325459644423,-1.12296286900728,0.698484825550298,-2.76101069927085,0.51508496125629
181,181,181,24,2,6,1,PTEN-3'UTR luciferase reporter activity of EV vs PTEN-3'UTR,Positive,Negative,8,10,Yes,Student's t test,Welch's t test,t,11.76119,,3.325596,0.0007993519,Welch's t test,t,-7.502377,,5.602625,0.0003991548,No,,,"",,,,Glass' delta,6.038505,2.564616,1.348041,10.82966,-3.154098,1.152461,-5.328959,-0.9197438,1.156698,-7.834491,10.147886,0.8009288,Negative,Welch's t test,t,11.76119,,3.325596,0.0007993519,Welch's t test,t,-7.502377,,5.602625,0.0003991548,,"",,,,Glass' delta,6.038505,2.564616,1.348041,10.82966,-3.154098,1.152461,-5.328959,-0.9197438,1.156698,-7.834491,10.147886,0.8009288,"",3D,Yes,Yes,Yes,Yes,2,4,1,0,Plasmids,Plasmids,Plasmids,Cell-based,1,Core9,2.0,ceRNA overexpression on PTEN-3'UTR luciferase reporter activity,Yes,Yes,"",0,"",6,"",2.0,No,"","","","","","","","",Yes,Student's t test,Yes,"",Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs.,2011,Cell,13,https://osf.io/oblj1/,2015-02-24,25000,33415.68,43110.89,62894.9,42331,42404,https://elifesciences.org/articles/12470,42445,43349,Partial,Western blot results with the phospho-AKT antibody were inconsistent and largely absent of a signal.,43977,44092,https://elifesciences.org/articles/56651,Yes,No,Yes,1,Core9,"",TRUE,TRUE,a. GTE moderate success,1,0,0,b.Yes,0,1,0,FALSE,TRUE,FALSE,TRUE,p24e2o6,1,p24e2,6.038505,Glass' delta,1.348041,10.82966,-3.154098,-5.328959,-0.9197438,2.564616,1.12482046475837,6.577255227456,1.26522107793922,6.038505,1.348041,10.82966,-3.154098,-5.328959,-0.9197438,2.41882480361624,1.12482046475836,5.85071343058915,1.26522107793922,0.0503455000000006,FALSE,0.810162109057593,11.2668478909424,FALSE,0.794425549580788,11.2825844504192,FALSE,0.000568829080333178,0.000590988838945483,-1.91449504739548,1.05425863455625,9.192603,7.11593450852837,0.924672847748997,0.923445711881394,-1.51964295227745,1.0402633616838,-3.51867493465921,0.479389030104315
